,order_id,product_id,category,quantity,unit_price,discount_rate,line_revenue
0,1,28,beauty,1,567,0.05,538.65
1,2,2,electronics,1,3850,0.05,3657.5
2,2,18,home,1,778,0.1,700.2
3,3,19,home,1,2193,0.0,2193.0
4,3,36,grocery,1,1580,0.15,1343.0
5,4,58,fashion,1,1326,0.1,1193.4
6,5,46,sports,1,3785,0.0,3785.0
7,5,4,electronics,1,2293,0.0,2293.0
8,5,33,grocery,2,4175,0.15,7097.5
9,6,2,electronics,1,3850,0.05,3657.5
10,7,5,electronics,1,1760,0.1,1584.0
11,7,37,grocery,1,667,0.05,633.65
12,8,39,grocery,1,2235,0.0,2235.0
13,9,59,fashion,2,2290,0.0,4580.0
14,9,2,electronics,1,3850,0.0,3850.0
15,10,48,sports,1,2972,0.1,2674.8
16,10,22,beauty,1,1574,0.2,1259.2
17,10,59,fashion,1,2290,0.0,2290.0
18,10,31,grocery,1,3203,0.0,3203.0
19,11,7,electronics,2,1985,0.05,3771.5
20,11,60,fashion,1,552,0.0,552.0
21,12,23,beauty,1,2336,0.1,2102.4
22,13,27,beauty,1,1579,0.0,1579.0
23,13,9,electronics,1,4658,0.0,4658.0
24,14,48,sports,1,2972,0.1,2674.8
25,14,5,electronics,1,1760,0.15,1496.0
26,15,15,home,2,860,0.1,1548.0
27,15,28,beauty,1,567,0.05,538.65
28,16,9,electronics,1,4658,0.05,4425.1
29,17,6,electronics,1,529,0.05,502.55
30,17,13,home,1,3877,0.05,3683.15
31,17,58,fashion,2,1326,0.15,2254.2
32,18,11,home,1,1744,0.0,1744.0
33,18,11,home,1,1744,0.15,1482.4
34,19,15,home,1,860,0.0,860.0
35,20,42,sports,1,3125,0.05,2968.75
36,21,58,fashion,1,1326,0.05,1259.7
37,22,31,grocery,1,3203,0.1,2882.7
38,22,56,fashion,2,630,0.0,1260.0
39,22,5,electronics,1,1760,0.05,1672.0
40,22,22,beauty,1,1574,0.0,1574.0
41,23,27,beauty,1,1579,0.0,1579.0
42,24,21,beauty,1,2746,0.2,2196.8
43,24,50,sports,2,2033,0.1,3659.4
44,25,35,grocery,1,1942,0.1,1747.8
45,25,1,electronics,1,150,0.05,142.5
46,26,14,home,1,4075,0.0,4075.0
47,26,17,home,1,2656,0.15,2257.6
48,27,15,home,2,860,0.0,1720.0
49,28,16,home,1,1002,0.05,951.9
50,28,39,grocery,2,2235,0.0,4470.0
51,29,3,electronics,1,3713,0.0,3713.0
52,29,53,fashion,1,1286,0.15,1093.1
53,30,39,grocery,1,2235,0.05,2123.25
54,31,30,beauty,1,4729,0.0,4729.0
55,32,41,sports,2,931,0.0,1862.0
56,32,42,sports,1,3125,0.0,3125.0
57,33,37,grocery,1,667,0.0,667.0
58,33,36,grocery,1,1580,0.0,1580.0
59,34,57,fashion,1,729,0.1,656.1
60,35,15,home,2,860,0.05,1634.0
61,36,51,fashion,1,2916,0.0,2916.0
62,36,47,sports,1,1558,0.0,1558.0
63,37,1,electronics,1,150,0.1,135.0
64,37,3,electronics,1,3713,0.0,3713.0
65,37,4,electronics,1,2293,0.15,1949.05
66,38,51,fashion,3,2916,0.2,6998.4
67,39,34,grocery,1,2437,0.0,2437.0
68,40,50,sports,1,2033,0.1,1829.7
69,41,5,electronics,1,1760,0.0,1760.0
70,42,45,sports,1,4975,0.05,4726.25
